Date,eindend,vindend
19690514,100.409302,83.435066
19690521,99.333801,82.243217
19690528,98.290253,81.449463
19690604,97.604858,80.996353
19690611,93.990578,78.360313
19690618,90.414909,76.681442
19690625,87.196487,75.5168
19690702,89.141823,77.167191
19690709,87.595932,75.606728
19690716,84.707802,74.11805
19690723,82.365051,72.442848
19690730,77.155937,69.579033
19690806,81.939812,72.995529
19690813,80.483551,72.123611
19690820,83.217369,74.250832
19690827,82.908051,73.95327
19690903,83.037552,74.272469
19690910,82.35041,74.217117
19690917,82.536079,74.187843
19690924,83.34597,74.92144
19691001,81.387947,72.72654
19691008,81.358818,72.91227
19691015,85.423157,75.614304
19691022,89.321541,77.491829
19691029,89.103477,76.839157
19691105,90.098198,77.654419
19691112,90.209221,78.052811
19691119,87.19838,76.260468
19691126,84.202087,74.262299
19691203,81.70343,72.86908
19691210,79.107841,71.868958
19691217,77.353416,70.927658
19691224,78.893402,72.461823
19691231,79.405357,73.298317
19700107,83.429222,74.026657
19700114,82.095192,73.194618
19700121,80.997864,71.952393
19700128,78.077538,69.429878
19700204,77.167282,68.913918
19700211,77.364517,69.675827
19700218,77.804237,70.122742
19700225,79.174591,71.667397
19700304,79.972641,72.228951
19700311,78.832581,71.050003
19700318,76.985558,69.983627
19700325,77.920319,71.592644
19700401,78.110909,71.844559
19700408,76.202919,70.325104
19700415,72.731552,68.546669
19700422,69.370949,66.365143
19700429,65.372078,64.187012
19700506,63.68367,62.333179
19700513,61.386349,60.117668
19700520,58.15794,57.64415
19700527,56.111721,56.756828
19700603,63.732971,61.74826
19700610,60.874142,59.315811
19700617,60.573299,59.644192
19700624,57.942421,57.89983
19700701,56.005421,56.969299
19700708,54.881989,56.808208
19700715,56.563301,58.613361
19700722,58.231548,60.0107
19700729,59.43552,60.945641
19700805,59.105068,60.352852
19700812,57.637421,59.001549
19700819,57.86911,60.030109
19700826,62.12154,63.66584
19700902,63.465919,63.658901
19700909,66.101532,65.38269
19700916,66.408752,64.71154
19700923,68.231941,65.687553
19700930,72.042519,67.088173
19701007,73.79319,69.063972
19701014,71.434174,66.951088
19701021,69.45327,66.272743
19701028,68.450111,66.014893
19701104,68.630791,66.82238
19701111,68.760696,67.445747
19701118,65.552391,65.53907
19701125,66.349998,67.397499
19701202,69.294098,70.26355
19701209,69.804321,71.099953
19701216,69.454849,71.200722
19701223,70.593781,71.62825
19701230,73.881729,73.47261
19710106,76.498322,73.876472
19710113,78.624496,74.459587
19710120,81.001068,75.503227
19710127,82.946228,76.42572
19710203,86.924187,78.056343
19710210,88.963387,78.941528
19710217,90.762787,79.670692
19710224,89.106911,78.592117
19710303,89.557892,78.853699
19710310,93.119987,80.982552
19710317,94.394753,82.450951
19710324,93.239807,81.380112
19710331,94.093437,82.081627
19710407,95.405472,83.3274
19710414,96.373207,84.379333
19710421,96.005882,84.255898
19710428,97.834503,85.560112
19710505,96.952271,84.805267
19710512,95.350182,84.158501
19710519,93.393913,82.663017
19710526,91.965652,81.564934
19710602,93.313499,82.911926
19710609,92.828178,82.521339
19710616,91.89653,82.562149
19710623,89.208221,80.852211
19710630,90.81234,82.03775
19710707,91.812202,82.556923
19710714,91.207123,82.047318
19710721,90.905869,82.062462
19710728,88.022102,80.077393
19710804,84.445869,77.381233
19710811,84.818871,78.215332
19710818,89.803139,81.433762
19710825,90.508789,82.819939
19710901,90.076927,81.893707
19710908,92.685448,83.861168
19710915,91.442299,82.624809
19710922,89.943748,81.535316
19710929,89.297218,81.043999
19711006,90.918854,82.716698
19711013,90.595016,82.096642
19711020,86.776253,79.227493
19711027,84.23172,77.64341
19711103,84.4375,78.521057
19711110,82.757927,77.482063
19711117,81.541031,76.933388
19711124,77.758003,74.711037
19711201,83.822098,79.397209
19711208,85.817619,80.738342
19711215,87.774399,82.10611
19711222,90.221748,84.251961
19711229,90.998901,85.085892
19720105,95.244164,86.065811
19720112,98.434891,86.786072
19720119,99.92334,87.162231
19720126,98.965378,86.024391
19720202,103.528702,88.248444
19720209,104.507896,89.029762
19720216,105.110497,89.210052
19720223,105.241798,89.108307
19720301,107.324402,91.060272
19720308,109.346397,92.632378
19720315,108.645599,91.6623
19720322,105.965202,90.648972
19720329,106.013901,90.562248
19720405,108.017403,92.646049
19720412,110.086304,93.819519
19720419,108.989304,92.983047
19720426,106.771004,91.047768
19720503,104.541298,90.070518
19720510,102.601601,89.53598
19720517,104.6483,91.035698
19720524,106.0821,93.696053
19720531,105.2957,93.139603
19720607,104.1278,91.844559
19720614,104.035202,92.383232
19720621,103.427299,92.58519
19720628,101.613602,91.037666
19720705,102.707603,92.063187
19720712,100.865997,90.906059
19720719,99.293198,90.123543
19720726,99.870453,91.131958
19720802,99.988541,92.461792
19720809,100.535698,93.830391
19720816,101.374702,94.614578
19720823,101.811798,95.067223
19720830,100.282204,93.684952
19720906,100.025902,93.709549
19720913,97.774399,92.12738
19720920,97.149727,91.860527
19720927,97.102882,92.712799
19721004,96.589981,93.004257
19721011,96.088371,92.54351
19721018,94.499069,91.343132
19721025,95.497429,93.309593
19721101,97.315224,95.153954
19721108,98.252098,95.871811
19721115,98.556686,96.863297
19721122,100.4133,98.778137
19721129,101.062401,98.623962
19721206,103.388397,100.040199
19721213,102.262604,100.3769
19721220,99.422989,98.331001
19721227,98.581741,98.971298
19730103,102.817497,101.236397
19730110,102.593201,100.941101
19730117,100.568497,100.0075
19730124,97.938591,98.081688
19730131,96.383919,97.387161
19730207,93.769493,95.361481
19730214,94.317238,96.497551
19730221,92.914688,95.787819
19730228,89.625153,93.265083
19730307,91.009041,95.44104
19730314,90.746567,95.711563
19730321,87.38765,91.921852
19730328,87.272972,92.639038
19730404,85.779228,90.353951
19730411,86.749611,93.236969
19730418,85.515427,92.153992
19730425,82.972656,89.484497
19730502,82.003052,89.381897
19730509,83.386368,91.207748
19730516,79.576553,87.939171
19730523,74.126778,85.383888
19730530,76.303299,87.14312
19730606,74.048149,85.572281
19730613,76.716537,88.355568
19730620,74.270416,85.762978
19730627,72.688728,85.071587
19730704,72.664429,83.751198
19730711,75.990379,87.298271
19730718,79.240959,88.514923
19730725,83.261887,91.487907
19730801,81.607658,89.170502
19730808,80.628754,88.396622
19730815,78.235573,86.306717
19730822,76.49794,84.275726
19730829,78.141083,87.205513
19730905,79.610519,88.164352
19730912,79.494789,87.040092
19730919,81.845581,89.666191
19730926,86.129532,92.529442
19731003,88.586189,92.811668
19731010,89.000526,92.914574
19731017,89.336723,93.565437
19731024,88.395081,93.529633
19731031,86.793457,92.059128
19731107,83.440681,89.686401
19731114,79.040619,86.787209
19731121,74.723488,84.235863
19731128,72.472267,82.537453
19731205,67.1175,77.834908
19731212,68.04998,79.11898
19731219,67.342667,79.773262
19731226,67.761818,80.526741
19740102,71.517174,82.529411
19740109,75.172173,79.778458
19740116,76.550598,81.503349
19740123,78.507378,82.639839
19740130,79.75412,82.809532
19740206,77.610802,79.82431
19740213,76.561813,77.96405
19740220,77.92363,80.045578
19740227,80.573318,82.857407
19740306,82.674911,84.264763
19740313,84.712112,85.761909
19740320,83.756104,83.971169
19740327,82.407089,82.948242
19740403,80.558701,80.905586
19740410,79.193512,79.250732
19740417,80.267281,80.837128
19740424,76.998421,77.233849
19740501,77.366653,78.77861
19740508,76.514893,78.190392
19740515,74.762451,76.956161
19740522,71.631279,74.031616
19740529,71.105499,73.960426
19740605,73.529121,76.876572
19740612,74.75766,78.327759
19740619,72.619453,75.60569
19740626,70.857872,74.240219
19740703,67.42588,71.132133
19740710,64.397079,67.652878
